O,C,E,A,N,Cluster
33.0,32.0,30.0,31.0,24.0,"Sales, Marketing & Management"
27.0,31.0,34.0,32.0,21.0,"Sales, Marketing & Management"
31.0,28.0,29.0,28.0,26.0,Suitable for any job
31.0,27.0,26.0,32.0,27.0,Education & Social Work
36.0,32.0,35.0,30.0,23.0,"Sales, Marketing & Management"
32.0,29.0,30.0,28.0,22.0,Suitable for any job
37.0,29.0,35.0,33.0,30.0,Education & Social Work
31.0,33.0,30.0,32.0,20.0,Healthcare & Support
33.0,25.0,28.0,29.0,28.0,Suitable for any job
27.0,29.0,34.0,33.0,31.0,Suitable for any job
38.0,32.0,31.0,29.0,35.0,Suitable for any job
35.0,44.0,36.0,41.0,38.0,"Sales, Marketing & Management"
37.0,28.0,32.0,34.0,26.0,Education & Social Work
32.0,33.0,30.0,22.0,36.0,Suitable for any job
42.0,33.0,28.0,38.0,36.0,Education & Social Work
36.0,35.0,33.0,40.0,35.0,"Sales, Marketing & Management"
34.0,26.0,28.0,32.0,35.0,Education & Social Work
30.0,31.0,29.0,35.0,26.0,Education & Social Work
33.0,25.0,36.0,33.0,27.0,Education & Social Work
38.0,37.0,36.0,33.0,36.0,"Sales, Marketing & Management"
30.0,31.0,27.0,33.0,34.0,Education & Social Work
27.0,25.0,31.0,30.0,36.0,Suitable for any job
27.0,26.0,31.0,31.0,26.0,Suitable for any job
42.0,37.0,30.0,30.0,24.0,"Sales, Marketing & Management"
34.0,29.0,29.0,28.0,36.0,Suitable for any job
37.0,31.0,39.0,39.0,36.0,"Sales, Marketing & Management"
30.0,26.0,35.0,34.0,26.0,Education & Social Work
37.0,30.0,27.0,29.0,25.0,Suitable for any job
31.0,34.0,27.0,30.0,35.0,Education & Social Work
34.0,30.0,30.0,29.0,41.0,Suitable for any job
39.0,30.0,36.0,37.0,26.0,"Sales, Marketing & Management"
31.0,34.0,32.0,30.0,37.0,"Sales, Marketing & Management"
32.0,24.0,29.0,31.0,23.0,Education & Social Work
32.0,29.0,35.0,31.0,42.0,Education & Social Work
30.0,33.0,24.0,25.0,39.0,Suitable for any job
36.0,36.0,33.0,35.0,39.0,"Sales, Marketing & Management"
30.0,35.0,33.0,30.0,34.0,"Sales, Marketing & Management"
37.0,23.0,30.0,30.0,29.0,Education & Social Work
28.0,29.0,29.0,27.0,28.0,Suitable for any job
33.0,26.0,32.0,35.0,27.0,Education & Social Work
31.0,31.0,28.0,32.0,37.0,Education & Social Work
35.0,30.0,32.0,32.0,31.0,"Sales, Marketing & Management"
33.0,25.0,31.0,33.0,23.0,Education & Social Work
23.0,22.0,26.0,38.0,27.0,Suitable for any job
34.0,35.0,38.0,32.0,21.0,"Sales, Marketing & Management"
33.0,31.0,31.0,36.0,41.0,"Sales, Marketing & Management"
36.0,32.0,26.0,29.0,37.0,Suitable for any job
33.0,26.0,29.0,34.0,32.0,Education & Social Work
31.0,29.0,29.0,30.0,24.0,Education & Social Work
30.0,35.0,32.0,29.0,23.0,Suitable for any job
33.0,33.0,30.0,32.0,36.0,"Sales, Marketing & Management"
34.0,25.0,29.0,33.0,28.0,Education & Social Work
37.0,32.0,27.0,30.0,33.0,Education & Social Work
36.0,31.0,25.0,33.0,28.0,Education & Social Work
33.0,25.0,34.0,32.0,22.0,Education & Social Work
35.0,27.0,31.0,30.0,24.0,Education & Social Work
38.0,31.0,35.0,31.0,40.0,"Sales, Marketing & Management"
28.0,30.0,30.0,24.0,22.0,Suitable for any job
32.0,30.0,29.0,29.0,29.0,Suitable for any job
32.0,34.0,34.0,29.0,32.0,Suitable for any job
33.0,30.0,33.0,37.0,38.0,"Sales, Marketing & Management"
33.0,19.0,32.0,26.0,27.0,Creative Freelance & Innovation
33.0,32.0,28.0,34.0,30.0,Education & Social Work
30.0,33.0,30.0,35.0,31.0,"Sales, Marketing & Management"
32.0,29.0,34.0,32.0,34.0,Education & Social Work
