EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,EXT1_E,EXT2_E,EXT3_E,EXT4_E,EXT5_E,EXT6_E,EXT7_E,EXT8_E,EXT9_E,EXT10_E,EST1_E,EST2_E,EST3_E,EST4_E,EST5_E,EST6_E,EST7_E,EST8_E,EST9_E,EST10_E,AGR1_E,AGR2_E,AGR3_E,AGR4_E,AGR5_E,AGR6_E,AGR7_E,AGR8_E,AGR9_E,AGR10_E,CSN1_E,CSN2_E,CSN3_E,CSN4_E,CSN5_E,CSN6_E,CSN7_E,CSN8_E,CSN9_E,CSN10_E,OPN1_E,OPN2_E,OPN3_E,OPN4_E,OPN5_E,OPN6_E,OPN7_E,OPN8_E,OPN9_E,OPN10_E,dateload,screenw,screenh,introelapse,testelapse,endelapse,IPC,country,lat_appx_lots_of_err,long_appx_lots_of_err
4.0,1.0,5.0,2.0,5.0,1.0,5.0,2.0,4.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,5.0,1.0,4.0,1.0,4.0,1.0,5.0,3.0,4.0,5.0,9419.0,5491.0,3959.0,4821.0,5611.0,2756.0,2388.0,2113.0,5900.0,4110.0,6135.0,4150.0,5739.0,6364.0,3663.0,5070.0,5709.0,4285.0,2587.0,3997.0,4750.0,5475.0,11641.0,3115.0,3207.0,3260.0,10235.0,5897.0,1758.0,3081.0,6602.0,5457.0,1569.0,2129.0,3762.0,4420.0,9382.0,5286.0,4983.0,6339.0,3146.0,4067.0,2959.0,3411.0,2170.0,4920.0,4436.0,3116.0,2992.0,4354.0,2016-03-03 02:01:01,768.0,1024.0,9.0,234.0,6,1,GB,51.5448,0.1991
3.0,5.0,3.0,4.0,3.0,3.0,2.0,5.0,1.0,5.0,2.0,3.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,5.0,1.0,5.0,3.0,4.0,5.0,3.0,3.0,2.0,5.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,1.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0,5.0,3.0,7235.0,3598.0,3315.0,2564.0,2976.0,3050.0,4787.0,3228.0,3465.0,3309.0,9036.0,2406.0,3484.0,3359.0,3061.0,2539.0,4226.0,2962.0,1799.0,1607.0,2158.0,2090.0,2143.0,2807.0,3422.0,5324.0,4494.0,3627.0,1850.0,1747.0,5163.0,5240.0,7208.0,2783.0,4103.0,3431.0,3347.0,2399.0,3360.0,5595.0,2624.0,4985.0,1684.0,3026.0,4742.0,3336.0,2718.0,3374.0,3096.0,3019.0,2016-03-03 02:01:20,1360.0,768.0,12.0,179.0,11,1,MY,3.1698,101.706
2.0,3.0,4.0,4.0,3.0,2.0,1.0,3.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,4.0,1.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,1.0,2.0,1.0,4.0,2.0,5.0,3.0,4.0,4.0,4657.0,3549.0,2543.0,3335.0,5847.0,2540.0,4922.0,3142.0,14621.0,2191.0,5128.0,3675.0,3442.0,4546.0,8275.0,2185.0,2164.0,1175.0,3813.0,1593.0,1089.0,2203.0,3386.0,1464.0,2562.0,1493.0,3067.0,13719.0,3892.0,4100.0,4286.0,4775.0,2713.0,2813.0,4237.0,6308.0,2690.0,1516.0,2379.0,2983.0,1930.0,1470.0,1644.0,1683.0,2229.0,8114.0,2043.0,6295.0,1585.0,2529.0,2016-03-03 02:01:56,1366.0,768.0,3.0,186.0,7,1,GB,54.9119,-1.3833
2.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,2.0,5.0,2.0,3.0,1.0,4.0,4.0,3.0,3.0,3996.0,2896.0,5096.0,4240.0,5168.0,5456.0,4360.0,4496.0,5240.0,4000.0,3736.0,4616.0,3015.0,2711.0,3960.0,4064.0,4208.0,2936.0,7336.0,3896.0,6062.0,11952.0,1040.0,2264.0,3664.0,3049.0,4912.0,7545.0,4632.0,6896.0,2824.0,520.0,2368.0,3225.0,2848.0,6264.0,3760.0,10472.0,3192.0,7704.0,3456.0,6665.0,1977.0,3728.0,4128.0,3776.0,2984.0,4192.0,3480.0,3257.0,2016-03-03 02:02:02,1920.0,1200.0,186.0,219.0,7,1,GB,51.75,-1.25
3.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,5.0,3.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,3.0,5.0,5.0,6004.0,3965.0,2721.0,3706.0,2968.0,2426.0,7339.0,3302.0,16819.0,3731.0,4740.0,2856.0,7461.0,2179.0,3324.0,2255.0,4308.0,4506.0,3127.0,3115.0,6771.0,2819.0,3682.0,2511.0,16204.0,1736.0,28983.0,1612.0,2437.0,4532.0,3843.0,7019.0,3102.0,3153.0,2869.0,6550.0,1811.0,3682.0,21500.0,20587.0,8458.0,3510.0,17042.0,7029.0,2327.0,5835.0,6846.0,5320.0,11401.0,8642.0,2016-03-03 02:02:57,1366.0,768.0,8.0,315.0,17,2,KE,1.0,38.0
3.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,4.0,5.0,2.0,4834.0,5064.0,1160.0,2664.0,6711.0,3344.0,2512.0,6264.0,6992.0,4592.0,2808.0,1776.0,3280.0,4520.0,2640.0,5408.0,3647.0,3183.0,1575.0,672.0,6375.0,4727.0,3775.0,1647.0,1233.0,8694.0,2904.0,2152.0,2856.0,2848.0,4288.0,4360.0,7328.0,3976.0,7895.0,2640.0,1760.0,5720.0,9032.0,3928.0,2104.0,5488.0,3656.0,4352.0,2681.0,3272.0,2640.0,1568.0,1640.0,3192.0,2016-03-03 02:03:12,1600.0,1000.0,4.0,196.0,3,1,SE,59.3333,18.05
4.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,1.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,2.0,1.0,4.0,4.0,2.0,2.0,5.0,5.0,2.0,4.0,3.0,4.0,1.0,5.0,5.0,4.0,4.0,3908.0,2965.0,2268.0,5339.0,2669.0,2664.0,3254.0,7038.0,2782.0,2696.0,3075.0,788.0,3026.0,2943.0,2796.0,3964.0,2486.0,4139.0,2546.0,2912.0,7876.0,6190.0,4352.0,3050.0,3637.0,2589.0,3644.0,3259.0,2843.0,6138.0,6018.0,4328.0,3415.0,3107.0,3193.0,3501.0,2385.0,2661.0,2565.0,1057.0,3773.0,3274.0,2292.0,8305.0,2319.0,4013.0,2661.0,3591.0,3484.0,3872.0,2016-03-03 02:05:00,360.0,640.0,36.0,179.0,10,1,US,30.3322,-81.6556
3.0,1.0,5.0,2.0,5.0,2.0,5.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,1.0,5.0,1.0,4.0,2.0,3.0,2.0,5.0,5.0,4.0,1.0,3.0,1.0,5.0,1.0,4.0,3.0,4.0,5.0,8559.0,3120.0,4377.0,4928.0,1656.0,2912.0,4200.0,10848.0,3640.0,3520.0,5808.0,2944.0,2487.0,5952.0,2560.0,5001.0,2576.0,7952.0,4321.0,3752.0,5720.0,2584.0,3463.0,3408.0,5168.0,7176.0,3048.0,2648.0,3313.0,3936.0,3928.0,4752.0,2777.0,4416.0,4992.0,4224.0,3848.0,3400.0,2087.0,3048.0,2000.0,5248.0,2969.0,8664.0,2264.0,5432.0,2200.0,4248.0,3768.0,2520.0,2016-03-03 02:05:08,1440.0,900.0,15.0,210.0,17,1,MY,2.9927,101.7909
2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,5.0,1.0,5.0,1.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,0.0,3.0,4.0,1.0,2.0,1.0,4.0,4.0,1.0,5.0,1.0,4.0,1.0,5.0,2.0,5.0,5.0,3973.0,2970.0,7239.0,2586.0,2235.0,5071.0,2719.0,5806.0,2986.0,3102.0,2453.0,4553.0,4470.0,8242.0,4772.0,4070.0,5655.0,5339.0,6390.0,3203.0,2601.0,2486.0,2853.0,2667.0,2668.0,2186.0,4220.0,1867.0,2685.0,3387.0,4387.0,5122.0,2636.0,0.0,1901.0,7473.0,2353.0,2653.0,5154.0,3086.0,2834.0,2936.0,2052.0,3720.0,1684.0,2736.0,4086.0,5037.0,2935.0,1135.0,2016-03-03 02:05:27,2560.0,1440.0,2.0,181.0,4,1,GB,53.423,-2.2166
1.0,5.0,3.0,5.0,2.0,3.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,1.0,5.0,3.0,4.0,2.0,3.0,2.0,2.0,5.0,1.0,5.0,1.0,4.0,3.0,4.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,5420.0,7347.0,6391.0,6083.0,8647.0,3221.0,4300.0,11316.0,18051.0,3601.0,3077.0,3152.0,3206.0,2113.0,3684.0,2955.0,3002.0,3202.0,2103.0,1281.0,2273.0,3562.0,3818.0,7513.0,7159.0,2887.0,3132.0,17241.0,8739.0,2376.0,4742.0,4643.0,4466.0,5816.0,8356.0,3601.0,3128.0,4884.0,4276.0,6816.0,3801.0,3964.0,3499.0,3319.0,9295.0,3113.0,2418.0,3028.0,4745.0,1191.0,2016-03-03 02:08:06,1600.0,900.0,6.0,261.0,13,1,FI,60.1708,24.9375
3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,1.0,2.0,3.0,5.0,4.0,4.0,5.0,2.0,5.0,3.0,4.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0,5.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,2687.0,2346.0,1784.0,1696.0,2620.0,3288.0,4442.0,1717.0,2269.0,2400.0,2625.0,2042.0,1803.0,1811.0,3687.0,3546.0,3794.0,2054.0,2436.0,1419.0,3166.0,1156.0,2215.0,2530.0,2227.0,2206.0,3157.0,2755.0,2225.0,1288.0,2207.0,1318.0,1459.0,3266.0,1198.0,2397.0,2320.0,1952.0,1968.0,1832.0,1870.0,2105.0,1118.0,1928.0,1606.0,1197.0,964.0,1434.0,1858.0,1193.0,2016-03-03 02:08:17,1440.0,900.0,6.0,110.0,7,1,UA,50.4333,30.5167
3.0,1.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,3.0,5.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,1.0,5.0,1.0,5.0,3.0,1.0,5.0,5.0,5.0,6263.0,4876.0,2547.0,5647.0,2164.0,4082.0,7001.0,2887.0,3788.0,3096.0,1846.0,3158.0,2714.0,2534.0,2748.0,2626.0,1066.0,1540.0,2926.0,4443.0,6023.0,2228.0,2127.0,2787.0,2966.0,2324.0,1737.0,4332.0,2904.0,2558.0,3350.0,2452.0,2752.0,3404.0,5316.0,6112.0,5070.0,2700.0,1996.0,3688.0,5122.0,7515.0,4332.0,2306.0,1722.0,2294.0,3889.0,2332.0,2590.0,1624.0,2016-03-03 02:08:52,1280.0,720.0,10.0,172.0,8,1,PH,14.5833,120.9667
4.0,1.0,5.0,4.0,5.0,1.0,4.0,1.0,5.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,5.0,4.0,1.0,5.0,1.0,5.0,2.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,2.0,3.0,1.0,4.0,1.0,2.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,5.0,16824.0,3363.0,3985.0,4895.0,4005.0,9861.0,5646.0,4559.0,12550.0,10819.0,11723.0,4571.0,16338.0,5432.0,6640.0,4814.0,12849.0,8155.0,12604.0,11423.0,10246.0,4074.0,26903.0,5067.0,6245.0,6648.0,5851.0,7050.0,4217.0,21209.0,4974.0,7185.0,8223.0,6640.0,6144.0,8964.0,16574.0,56462.0,3923.0,17173.0,10268.0,5289.0,2288.0,5150.0,5392.0,4426.0,5185.0,5963.0,6688.0,1265.0,2016-03-03 02:10:44,320.0,480.0,128.0,459.0,8,1,FR,48.8539,2.604
1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,4.0,5.0,3.0,3.0,4.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0,3.0,2.0,5.0,3.0,4.0,1.0,5.0,3.0,4.0,3.0,5.0,1.0,4.0,1.0,2.0,2.0,4.0,5.0,5.0,3.0,3853.0,1619.0,1435.0,918.0,917.0,2269.0,1734.0,1252.0,1436.0,700.0,1436.0,1903.0,934.0,1299.0,2153.0,1703.0,2553.0,3236.0,2037.0,750.0,9794.0,6174.0,5706.0,5622.0,2253.0,1652.0,5290.0,0.0,5106.0,2620.0,1768.0,2669.0,1819.0,12967.0,1401.0,1785.0,1535.0,2736.0,1484.0,3520.0,1434.0,1768.0,2069.0,1869.0,1418.0,2736.0,1618.0,1335.0,1434.0,1718.0,2016-03-03 02:10:50,1920.0,1080.0,2.0,129.0,5,1,GB,53.8,-1.5833
1.0,5.0,2.0,5.0,1.0,4.0,1.0,2.0,2.0,5.0,4.0,3.0,5.0,1.0,4.0,4.0,4.0,2.0,4.0,5.0,2.0,5.0,4.0,5.0,1.0,5.0,2.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,1.0,4.0,4.0,5.0,5.0,2174.0,1728.0,1736.0,1765.0,3279.0,2548.0,2378.0,3808.0,2443.0,1035.0,2744.0,1687.0,1380.0,1342.0,1964.0,1885.0,3470.0,1135.0,2212.0,1916.0,4808.0,1508.0,2594.0,399.0,1392.0,1408.0,3313.0,2881.0,2362.0,1351.0,2010.0,1665.0,4328.0,1931.0,2611.0,4129.0,3183.0,2177.0,2700.0,1418.0,1012.0,6052.0,2133.0,3744.0,2075.0,2230.0,2587.0,3350.0,3743.0,636.0,2016-03-03 02:11:06,1920.0,1080.0,6.0,120.0,8,1,AU,-37.9333,145.2333
2.0,1.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0,5.0,2.0,5.0,3.0,4.0,1.0,3.0,3.0,5.0,5.0,305890.0,3696.0,4296.0,5952.0,2760.0,3992.0,5040.0,3761.0,5120.0,3336.0,3503.0,4960.0,3288.0,91526.0,3400.0,3056.0,2487.0,2352.0,2456.0,1448.0,4328.0,1704.0,3688.0,3296.0,5007.0,3408.0,3239.0,3535.0,3088.0,2720.0,6696.0,5280.0,3088.0,2816.0,7680.0,6464.0,3329.0,30719.0,3616.0,6568.0,3984.0,8776.0,25911.0,5064.0,2376.0,5320.0,5664.0,3488.0,4424.0,1847.0,2016-03-03 02:11:53,1366.0,768.0,9.0,641.0,19,1,IN,20.0,77.0
1.0,4.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,2923.0,2463.0,1752.0,2353.0,1480.0,2904.0,3400.0,3784.0,2513.0,1423.0,3249.0,2647.0,2528.0,5695.0,1592.0,2712.0,2520.0,1840.0,1551.0,1463.0,4253.0,1992.0,3304.0,2055.0,2184.0,16888.0,1777.0,2528.0,2599.0,1782.0,2511.0,4640.0,1320.0,1969.0,2088.0,3200.0,1623.0,15848.0,2139.0,14107.0,3505.0,2601.0,1455.0,1025.0,2624.0,3432.0,1992.0,6928.0,2977.0,2056.0,2016-03-03 02:14:11,1920.0,1080.0,6.0,169.0,11,1,CA,47.4596,-69.7547
4.0,1.0,5.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0,5.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,5.0,1.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,36633.0,3006.0,3892.0,2926.0,2420.0,5788.0,6562.0,2322.0,2352.0,7026.0,5072.0,7634.0,2846.0,1880.0,59526.0,11156.0,2290.0,5422.0,3792.0,1376.0,3207.0,2088.0,1941.0,6070.0,5780.0,6610.0,3096.0,11300.0,2038.0,15258.0,3828.0,3692.0,3733.0,6776.0,5674.0,33732.0,11744.0,20568.0,4190.0,18418.0,3368.0,4022.0,5967.0,7068.0,2790.0,3022.0,9024.0,3982.0,1716.0,1988.0,2016-03-03 02:14:27,1536.0,864.0,229.0,388.0,26,6,NL,51.9225,4.4792
4.0,2.0,5.0,3.0,4.0,4.0,5.0,2.0,5.0,2.0,2.0,5.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,4.0,0.0,3.0,5.0,3.0,1.0,5.0,3.0,2.0,1.0,2.0,4.0,1.0,5.0,1.0,3.0,5.0,4.0,2.0,5.0,3.0,15771.0,7379.0,53546.0,4563.0,3381.0,10248.0,3100.0,4623.0,5820.0,5583.0,9215.0,2783.0,3997.0,141423.0,4690.0,4703.0,7147.0,3549.0,3452.0,4284.0,2422.0,4034.0,2848.0,2086.0,3998.0,2654.0,39228.0,2986.0,3366.0,98375.0,0.0,9418.0,3053.0,5168.0,4533.0,5996.0,2655.0,10151.0,4852.0,3984.0,7751.0,3217.0,2702.0,3998.0,3162.0,25811.0,12275.0,12978.0,4282.0,2950.0,2016-03-03 02:16:17,1280.0,768.0,15.0,592.0,39,1,ZA,-29.0,24.0
5.0,1.0,5.0,2.0,5.0,1.0,5.0,3.0,5.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,5.0,1.0,4.0,4.0,4.0,4.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,4.0,2.0,3.0,3721.0,5472.0,2457.0,5191.0,2735.0,1960.0,2392.0,3584.0,2007.0,1616.0,2264.0,4408.0,1632.0,2392.0,2768.0,1575.0,2432.0,3063.0,688.0,2991.0,3950.0,1488.0,2063.0,2073.0,3328.0,1936.0,2232.0,2872.0,2033.0,1680.0,2120.0,3816.0,3032.0,2504.0,1968.0,2504.0,1320.0,4184.0,3159.0,3000.0,1423.0,3151.0,1744.0,3128.0,1504.0,1976.0,1880.0,1769.0,3568.0,1137.0,2016-03-03 02:17:05,1829.0,1029.0,5.0,130.0,10,1,HK,22.3167,114.2167
3.0,3.0,2.0,3.0,4.0,3.0,1.0,5.0,1.0,2.0,5.0,1.0,5.0,1.0,3.0,3.0,4.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,5929.0,7401.0,3322.0,5263.0,2361.0,2215.0,4464.0,3768.0,3104.0,4241.0,4368.0,3032.0,3456.0,3208.0,2857.0,4167.0,2123.0,2904.0,2424.0,2152.0,10291.0,2839.0,5063.0,3153.0,3831.0,6472.0,3537.0,4864.0,3760.0,2743.0,5588.0,11895.0,1775.0,2744.0,2947.0,2249.0,3023.0,3008.0,2432.0,2817.0,7000.0,2928.0,2328.0,3565.0,2655.0,4136.0,2077.0,1856.0,4327.0,2207.0,2016-03-03 02:19:29,1280.0,800.0,14.0,193.0,10,1,GB,51.5,-0.13
3.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,1.0,5.0,1.0,4.0,5.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,5.0,3.0,2.0,1.0,2.0,4531.0,7268.0,8539.0,8341.0,5960.0,10018.0,7010.0,6776.0,5771.0,8411.0,4333.0,5324.0,4476.0,5918.0,5290.0,2687.0,3592.0,6369.0,2855.0,5311.0,18241.0,5808.0,5324.0,7424.0,7624.0,4529.0,6419.0,16404.0,5451.0,5441.0,10968.0,5064.0,3698.0,5150.0,7550.0,6159.0,3651.0,6258.0,4131.0,9393.0,2613.0,4145.0,3856.0,4080.0,3495.0,7096.0,3945.0,4079.0,3782.0,3324.0,2016-03-03 02:22:02,1366.0,768.0,8.0,305.0,17,1,US,34.1073,-118.3719
1.0,4.0,3.0,4.0,2.0,3.0,2.0,5.0,2.0,5.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,5.0,2.0,4.0,2.0,5.0,4.0,3.0,4.0,1.0,4.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,5.0,3.0,4514.0,2283.0,2899.0,1550.0,3529.0,851.0,3598.0,2452.0,2193.0,3293.0,2350.0,2622.0,2047.0,2334.0,3777.0,2480.0,2349.0,2234.0,4871.0,1545.0,2096.0,1163.0,1682.0,1563.0,2634.0,1769.0,2268.0,5077.0,3774.0,3266.0,5612.0,6909.0,2099.0,2683.0,1518.0,3699.0,1766.0,2552.0,2540.0,2577.0,14445.0,2883.0,2301.0,3950.0,2004.0,4918.0,4381.0,3716.0,1088.0,1125.0,2016-03-03 02:22:12,1280.0,1024.0,14.0,161.0,22,1,GB,51.4629,-2.5589
3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,0.0,5.0,5.0,4.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,4.0,4.0,4.0,1.0,4.0,5.0,1.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,4.0,5.0,4.0,25037.0,14300.0,10632.0,11616.0,16800.0,7100.0,13751.0,19083.0,0.0,7900.0,10434.0,3367.0,5201.0,8284.0,8054.0,15117.0,6900.0,8350.0,5267.0,5418.0,1184.0,13532.0,8952.0,6434.0,5200.0,14333.0,6348.0,1334.0,7567.0,7615.0,11950.0,8350.0,5916.0,8366.0,8196.0,9316.0,6734.0,10150.0,7083.0,12184.0,6949.0,7401.0,5300.0,9116.0,5084.0,6884.0,6250.0,8266.0,7517.0,5666.0,2016-03-03 02:22:24,320.0,568.0,31.0,435.0,19,1,BR,-23.5475,-46.6361
1.0,5.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,4.0,5.0,3.0,2.0,5.0,5.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,5.0,2.0,4.0,2.0,5.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,5.0,4.0,5.0,2.0,9121.0,5466.0,3049.0,6298.0,2700.0,3265.0,2632.0,3485.0,3102.0,786.0,4732.0,3484.0,3782.0,4214.0,5336.0,2600.0,800.0,4933.0,6695.0,2748.0,4766.0,2967.0,3550.0,3966.0,1551.0,850.0,3431.0,8415.0,2669.0,6431.0,3834.0,3600.0,3403.0,4705.0,6498.0,8035.0,3502.0,3550.0,1169.0,4299.0,3717.0,4834.0,3215.0,4367.0,3031.0,4185.0,5734.0,3680.0,2883.0,2286.0,2016-03-03 02:22:56,320.0,568.0,11.0,211.0,34,1,AU,-27.0,133.0
2.0,2.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,2.0,2.0,4.0,5.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,5.0,1.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,5.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0,2.0,5.0,3.0,11359.0,5374.0,8364.0,3595.0,3371.0,3433.0,3646.0,5400.0,4161.0,3744.0,3741.0,3850.0,3221.0,1226.0,9281.0,5463.0,3017.0,3899.0,2936.0,2940.0,5035.0,3683.0,2962.0,3343.0,7189.0,3396.0,6950.0,3995.0,3045.0,3431.0,3798.0,5111.0,3852.0,3474.0,1388.0,4997.0,1492.0,6226.0,2501.0,5108.0,4355.0,3225.0,3668.0,10590.0,4343.0,5044.0,3362.0,3582.0,3558.0,3780.0,2016-03-03 02:23:08,360.0,640.0,22.0,220.0,16,1,CA,42.3997,-82.1996
